,LIMC,ZSPD,VIDP,CYVR,SBGL,KJFK,LEMD,RJAA,CYYZ,SAEZ,ZBAA,LTFM,OMDB,EDDT,LFPG,EDDF,MMMX,EDDM,LDZA,EGPH,BIKF,ESSA,LKPR,LFQQ,EBBR,EIDW,LGAV,EFHK,EETN,EHEH,FACT,LPPT,EFRO
LIMC,0.0,9145.462921839513,6159.502244229665,8490.289487372997,9240.443773621446,6411.630216485815,1148.5660668194528,9749.009266937597,6609.43313822485,11200.030488781033,8094.086522767396,1683.3050965704033,4708.190352626581,839.4229173232067,597.647227692862,490.1396104415254,9775.445770070051,382.4534017470018,571.2976495991094,1423.7549912527588,2789.8815830930635,1675.0268443034151,647.0153232599317,689.0474073989398,664.3952506566018,1381.192654254011,1521.438716868451,1951.0929540754787,1870.2436430922335,692.3835754883867,8906.660841148243,1650.4062874119006,2538.132936085888
ZSPD,9145.462921839513,0.0,4292.294164011961,9016.027042522252,18271.284864397905,11872.965768605623,10270.038168674499,1795.1653470701212,11414.11558758609,19605.48726466171,1098.8391881220052,8021.792958328303,6448.573340149029,8428.152127029933,9266.538821703734,8857.834873324387,12896.888950685934,8778.291229474024,8670.244773563427,9032.685343726816,8956.580903846041,7780.26414951412,8520.514010353765,9123.256093925884,9024.973770238224,9364.445984146492,8557.446927892031,7393.997300475772,7439.701976930367,8938.065932826861,12989.53522682959,10730.78496714352,7111.796723483437
VIDP,6159.502244229665,4292.294164011961,0.0,11138.384837166739,14063.511167522962,11754.94829850792,7255.328214906565,5909.250123279566,11639.223104050201,15794.490572393017,3811.22316900493,4566.047060442222,2183.190603769457,5785.915771305621,6565.92854943909,6121.185112535329,14662.708439597296,5899.979912189503,5589.209484397878,6836.246415386642,7593.777972803409,5583.875141564338,5714.970423703678,6501.080434257892,6399.817544030502,7074.36258815461,4983.851376266188,5223.847444426262,5200.6264450305825,6331.400341379829,9282.845350520629,7767.803301105655,5439.118104243794
CYVR,8490.289487372997,9016.027042522252,11138.384837166739,0.0,11212.325649046332,3929.667087827683,8426.398460222947,7503.3643827802725,3346.065262820104,11306.011894863244,8491.592942617246,9588.351242168645,11735.171711494506,7979.429067098594,7924.983796384183,8062.180754267541,3944.571933641011,8340.059905344417,8746.620493868128,7067.373027293543,5701.731716788582,7411.6744673739295,8252.779547259795,7804.029472119836,7827.183480204533,7164.329817709851,9800.56504320369,7505.149627195536,7595.2331088364135,7809.899033180775,16465.20953208748,8288.503867714651,6878.634761429539
SBGL,9240.443773621446,18271.284864397905,14063.511167522962,11212.325649046332,0.0,7729.093708099038,8146.258928316377,18531.195791108297,8271.186132408277,1995.428353470573,17318.624718116444,10271.767959942494,11884.360300095565,9999.899573136834,9184.123131785209,9568.283601551813,7665.076602134776,9616.447470619587,9684.845164511811,9529.814395113926,9842.304164811861,10709.342326685113,9879.080082772547,9339.141101101264,9432.38980302497,9192.749867185408,9730.98460712888,11078.85214073269,11021.75343361116,9519.607478719365,6087.871598998781,7714.979604082941,11451.376242794004
KJFK,6411.630216485815,11872.965768605623,11754.94829850792,3929.667087827683,7729.093708099038,0.0,5762.025471470951,10829.468019943439,587.4088954268707,8534.711892841717,10977.61138682235,8027.011333646928,11000.82939708662,6367.419669376641,5833.386425117882,6189.1542734461045,3365.6070797424704,6480.773715334404,6905.329783235579,5224.818687727301,4197.785190963327,6291.593874633475,6550.828678253268,5807.873795019511,5885.3697807968165,5102.730002183939,7932.455806289573,6606.914800539541,6649.356410602336,5920.872953839785,12560.803274067739,5404.309620041176,6318.434484589655
LEMD,1148.5660668194528,10270.038168674499,7255.328214906565,8426.398460222947,8146.258928316377,5762.025471470951,0.0,10771.365389773611,6058.631933989723,10084.891062660701,9206.378510653298,2702.2488319417575,5648.573067280119,1853.640992836451,1064.514287652328,1422.050572145159,9066.890918984103,1496.9693797182808,1692.5382745319923,1721.1421621023853,2888.0069315874402,2601.3493707511634,1750.6615229202562,1235.5813496072453,1315.552739483112,1454.225118962622,2377.4313326404604,2947.4320721225527,2883.3149200833927,1400.4404453661639,8584.107113717999,512.8845584370001,3422.0000222935455
RJAA,9749.009266937597,1795.1653470701212,5909.250123279566,7503.3643827802725,18531.195791108297,10829.468019943439,10771.365389773611,0.0,10299.375959386833,18297.19994521465,2133.3180240322217,8980.31098908937,7978.6421393820765,8941.163890156917,9709.31227814645,9366.014476753255,11253.545374395047,9366.60393351221,9373.225157229546,9254.53199963534,8798.321608971684,8170.395509786672,9102.009097801203,9543.069153437295,9457.890709909856,9590.00408587783,9532.669034889863,7828.74735963798,7898.436176812024,9372.118080501896,14780.473523154042,11153.913596141403,7370.85294938375
CYYZ,6609.43313822485,11414.11558758609,11639.223104050201,3346.065262820104,8271.186132408277,587.4088954268707,6058.631933989723,10299.375959386833,0.0,8985.871186138354,10560.263711728265,8171.274964889148,11080.592571500489,6477.895440186134,6018.511701618143,6342.662219553331,3247.890977992751,6639.638079367699,7071.777341214486,5342.430556810266,4202.689344520942,6311.706893929508,6682.817209516884,5973.892370679363,6043.2341631455665,5259.66456365284,8127.399159836934,6598.71606358994,6650.662663103135,6069.742465228985,13136.631844292497,5739.078245285105,6243.416783834656
SAEZ,11200.030488781033,19605.48726466171,15794.490572393017,11306.011894863244,1995.428353470573,8534.711892841717,10084.891062660701,18297.19994521465,8985.871186138354,0.0,19289.70928642004,12266.824206187948,13675.498953376862,11933.024922521272,11100.067083107158,11502.137750607373,7396.77973611544,11571.029543749757,11662.142744355435,11358.623493704585,11460.844970957083,12598.548940741373,11830.92337423204,11246.712767060582,11343.810900959297,11025.405820274522,11725.05562218717,12981.387744901565,12932.640473630083,11430.931607617464,6886.082041979985,9632.30052917482,13282.900559270385
ZBAA,8094.086522767396,1098.8391881220052,3811.22316900493,8491.592942617246,17318.624718116444,10977.61138682235,9206.378510653298,2133.3180240322217,10560.263711728265,19289.70928642004,0.0,7061.75886204329,5846.428408163956,7357.370941408385,8189.724353071151,7788.395209245619,12435.185662210233,7721.985707506109,7637.516242212898,7936.25672217657,7870.884193010363,6691.864080722933,7461.550939385754,8042.99692176469,7945.907748157385,8268.747197889683,7607.430542904929,6308.537771925007,6357.094712899396,7858.784279958065,12967.734897763023,9657.682879314776,6013.908578937793
LTFM,1683.3050965704033,8021.792958328303,4566.047060442222,9588.351242168645,10271.767959942494,8027.011333646928,2702.2488319417575,8980.31098908937,8171.274964889148,12266.824206187948,7061.75886204329,0.0,3027.9011773987722,1712.5684114372132,2213.88650722904,1837.858012568955,11389.29648462006,1547.9829132915345,1135.558870168953,2830.767342771072,4087.246738830808,2177.481833179683,1489.3589955451396,2221.5840343980844,2141.818322400416,2924.4683551417634,552.3631359390542,2134.8799157182702,2037.0282863908224,2107.001771303601,8429.362191332484,3211.7174335800105,2818.8505107888336
OMDB,4708.190352626581,6448.573340149029,2183.190603769457,11735.171711494506,11884.360300095565,11000.82939708662,5648.573067280119,7978.6421393820765,11080.592571500489,13675.498953376862,5846.428408163956,3027.9011773987722,0.0,4634.536188630778,5238.30373722851,4842.872064752151,14328.390980757462,4563.68638327735,4162.586440529364,5776.784700011543,6885.950773003389,4784.718435844448,4463.278821580964,5233.556863398388,5147.156165772344,5918.191105076748,3271.3092464029237,4537.025110362885,4471.733222742804,5102.345397401615,7644.498781549268,6137.549256169119,5027.306459147683
EDDT,839.4229173232067,8428.152127029933,5785.915771305621,7979.429067098594,9999.899573136834,6367.419669376641,1853.640992836451,8941.163890156917,6477.895440186134,11933.024922521272,7357.370941408385,1712.5684114372132,4634.536188630778,0.0,850.4974971095637,431.6826244968808,9713.650891230824,479.5750967765883,784.5721209488278,1142.604257606154,2379.1423258300797,838.7723740907484,281.576913555292,737.3544487142678,633.1798423077714,1308.440821698761,1823.2230335509435,1118.8430222369009,1043.7146044590377,554.9586303035887,9635.66209352229,2302.6857424820937,1701.8548750228817
LFPG,597.647227692862,9266.538821703734,6565.92854943909,7924.983796384183,9184.123131785209,5833.386425117882,1064.514287652328,9709.31227814645,6018.511701618143,11100.067083107158,8189.724353071151,2213.88650722904,5238.30373722851,850.4974971095637,0.0,449.00506895345995,9198.923534624388,681.5692933331298,1079.12295434704,868.6768639079258,2225.1176543641695,1539.1555178390888,852.6058359792816,177.29972762352907,251.42649654422516,784.9693369031335,2108.8935232724316,1895.5582344575273,1837.8392888325443,337.5067385741307,9363.399547331674,1469.9632862919395,2358.800861619531
EDDF,490.1396104415254,8857.834873324387,6121.185112535329,8062.180754267541,9568.283601551813,6189.1542734461045,1422.050572145159,9366.014476753255,6342.662219553331,11502.137750607373,7788.395209245619,1837.858012568955,4842.872064752151,431.6826244968808,449.00506895345995,0.0,9551.980932636412,299.0736493547062,734.44155732098,1032.8584656977316,2379.55963806095,1222.987175365273,406.27801971921986,392.7983156454291,304.70667836915743,1086.8940196113897,1815.8370182307754,1537.9389925099097,1467.8755620952131,274.34672759363383,9393.055953949077,1873.84706028188,2079.668281738598
MMMX,9775.445770070051,12896.888950685934,14662.708439597296,3944.571933641011,7665.076602134776,3365.6070797424704,9066.890918984103,11253.545374395047,3247.890977992751,7396.77973611544,12435.185662210233,11389.29648462006,14328.390980757462,9713.650891230824,9198.923534624388,9551.980932636412,0.0,9844.86446381779,10270.57949825156,8573.011598267407,7447.576134836068,9555.32776316363,9907.578033808217,9172.519686277623,9248.791253224706,8465.097546487645,11295.07456624003,9830.89999106367,9887.012309094367,9282.302300217629,13711.343976959879,8664.536583495246,9429.19591909452
EDDM,382.4534017470018,8778.291229474024,5899.979912189503,8340.059905344417,9616.447470619587,6480.773715334404,1496.9693797182808,9366.60393351221,6639.638079367699,11571.029543749757,7721.985707506109,1547.9829132915345,4563.68638327735,479.5750967765883,681.5692933331298,299.0736493547062,9844.86446381779,0.0,435.372805823521,1330.3366233869128,2669.2628149565803,1317.3110466843007,264.80111614065527,673.6101624423094,596.828250612871,1381.2860601870107,1517.8783303811158,1574.5399279099283,1491.5970050572942,573.3926461914037,9179.18835595483,1983.6079398270863,2179.5591456309016
LDZA,571.2976495991094,8670.244773563427,5589.209484397878,8746.620493868128,9684.845164511811,6905.329783235579,1692.5382745319923,9373.225157229546,7071.777341214486,11662.142744355435,7637.516242212898,1135.558870168953,4162.586440529364,784.5721209488278,1079.12295434704,734.44155732098,10270.57949825156,435.372805823521,0.0,1764.554368661314,3094.6660800724226,1551.7236859844388,503.18469523171706,1099.1833149167103,1028.9384999379752,1812.1546193462373,1084.793589115557,1722.928893753889,1628.0765988832688,1008.7302268245519,8867.258411800965,2202.428641890457,2385.7771646126907
EGPH,1423.7549912527588,9032.685343726816,6836.246415386642,7067.373027293543,9529.814395113926,5224.818687727301,1721.1421621023853,9254.53199963534,5342.430556810266,11358.623493704585,7936.25672217657,2830.767342771072,5776.784700011543,1142.604257606154,868.6768639079258,1032.8584656977316,8573.011598267407,1330.3366233869128,1764.554368661314,0.0,1366.1622281126076,1320.2510546542144,1341.4084262122346,736.7464462666057,764.8529460052239,337.2039534199319,2848.2113604641363,1717.6968421996937,1705.517234342453,761.9890447440483,10213.775685686389,1956.1303624433278,1927.0385770142573
BIKF,2789.8815830930635,8956.580903846041,7593.777972803409,5701.731716788582,9842.304164811861,4197.785190963327,2888.0069315874402,8798.321608971684,4202.689344520942,11460.844970957083,7870.884193010363,4087.246738830808,6885.950773003389,2379.1423258300797,2225.1176543641695,2379.55963806095,7447.576134836068,2669.2628149565803,3094.6660800724226,1366.1622281126076,0.0,2109.0743457943413,2628.101221542469,2102.4846976713584,2128.9170434945413,1486.395041095137,4176.891888856657,2409.583253800543,2454.7484880957145,2117.6234281227908,11472.045420118653,2942.307926147029,2177.0499490729367
ESSA,1675.0268443034151,7780.26414951412,5583.875141564338,7411.6744673739295,10709.342326685113,6291.593874633475,2601.3493707511634,8170.395509786672,6311.706893929508,12598.548940741373,6691.864080722933,2177.481833179683,4784.718435844448,838.7723740907484,1539.1555178390888,1222.987175365273,9555.32776316363,1317.3110466843007,1551.7236859844388,1320.2510546542144,2109.0743457943413,0.0,1086.9490092945773,1375.4704625714714,1287.8123921554281,1624.7526881721867,2452.3533525122343,398.5689357775947,389.62412735087645,1201.790094986564,10410.637422820557,2998.3052371348076,863.3297003586031
LKPR,647.0153232599317,8520.514010353765,5714.970423703678,8252.779547259795,9879.080082772547,6550.828678253268,1750.6615229202562,9102.009097801203,6682.817209516884,11830.92337423204,7461.550939385754,1489.3589955451396,4463.278821580964,281.576913555292,852.6058359792816,406.27801971921986,9907.578033808217,264.80111614065527,503.18469523171706,1341.4084262122346,2628.101221542469,1086.9490092945773,0.0,793.0800262284977,696.6701556393344,1454.9163652752302,1555.754332455913,1319.6263258874899,1234.036333291913,642.0340692834425,9358.288777530079,2228.9079544309607,1942.94896284112
LFQQ,689.0474073989398,9123.256093925884,6501.080434257892,7804.029472119836,9339.141101101264,5807.873795019511,1235.5813496072453,9543.069153437295,5973.892370679363,11246.712767060582,8042.99692176469,2221.5840343980844,5233.556863398388,737.3544487142678,177.29972762352907,392.7983156454291,9172.519686277623,673.6101624423094,1099.1833149167103,736.7464462666057,2102.4846976713584,1375.4704625714714,793.0800262284977,0.0,104.17464565809286,715.1697675357511,2161.2853740484825,1739.9740827336304,1686.475455041425,187.09147772320674,9522.742717702058,1624.5352370256298,2186.4196889276245
EBBR,664.3952506566018,9024.973770238224,6399.817544030502,7827.183480204533,9432.38980302497,5885.3697807968165,1315.552739483112,9457.890709909856,6043.2341631455665,11343.810900959297,7945.907748157385,2141.818322400416,5147.156165772344,633.1798423077714,251.42649654422516,304.70667836915743,9248.791253224706,596.828250612871,1028.9384999379752,764.8529460052239,2128.9170434945413,1287.8123921554281,696.6701556393344,104.17464565809286,0.0,784.4652218415466,2101.487122926399,1646.5424706420476,1590.7996147657782,87.26507901126318,9538.261583682088,1717.441913766903,2109.419990192777
EIDW,1381.192654254011,9364.445984146492,7074.36258815461,7164.329817709851,9192.749867185408,5102.730002183939,1454.225118962622,9590.00408587783,5259.66456365284,11025.405820274522,8268.747197889683,2924.4683551417634,5918.191105076748,1308.440821698761,784.9693369031335,1086.8940196113897,8465.097546487645,1381.2860601870107,1812.1546193462373,337.2039534199319,1486.395041095137,1624.7526881721867,1454.9163652752302,715.1697675357511,784.4652218415466,0.0,2875.9209801847924,2023.288540062737,2002.9192181397093,818.4419646564614,10009.776088175524,1642.4746695558613,2262.6890021087634
LGAV,1521.438716868451,8557.446927892031,4983.851376266188,9800.56504320369,9730.98460712888,7932.455806289573,2377.4313326404604,9532.669034889863,8127.399159836934,11725.05562218717,7607.430542904929,552.3631359390542,3271.3092464029237,1823.2230335509435,2108.8935232724316,1815.8370182307754,11295.07456624003,1517.8783303811158,1084.793589115557,2848.2113604641363,4176.891888856657,2452.3533525122343,1555.754332455913,2161.2853740484825,2101.487122926399,2875.9209801847924,0.0,2489.6794411140104,2389.0689513250063,2089.016063229445,8014.8303514408435,2870.399397724636,3184.843224387242
EFHK,1951.0929540754787,7393.997300475772,5223.847444426262,7505.149627195536,11078.85214073269,6606.914800539541,2947.4320721225527,7828.74735963798,6598.71606358994,12981.387744901565,6308.537771925007,2134.8799157182702,4537.025110362885,1118.8430222369009,1895.5582344575273,1537.9389925099097,9830.89999106367,1574.5399279099283,1722.928893753889,1717.6968421996937,2409.583253800543,398.5689357775947,1319.6263258874899,1739.9740827336304,1646.5424706420476,2023.288540062737,2489.6794411140104,0.0,100.72063567001045,1559.3618854820566,10500.580656352362,3363.876975912895,695.2573510545288
EETN,1870.2436430922335,7439.701976930367,5200.6264450305825,7595.2331088364135,11021.75343361116,6649.356410602336,2883.3149200833927,7898.436176812024,6650.662663103135,12932.640473630083,6357.094712899396,2037.0282863908224,4471.733222742804,1043.7146044590377,1837.8392888325443,1467.8755620952131,9887.012309094367,1491.5970050572942,1628.0765988832688,1705.517234342453,2454.7484880957145,389.62412735087645,1234.036333291913,1686.475455041425,1590.7996147657782,2002.9192181397093,2389.0689513250063,100.72063567001045,0.0,1503.538739642221,10399.864784061421,3307.6755735702613,795.9448462888196
EHEH,692.3835754883867,8938.065932826861,6331.400341379829,7809.899033180775,9519.607478719365,5920.872953839785,1400.4404453661639,9372.118080501896,6069.742465228985,11430.931607617464,7858.784279958065,2107.001771303601,5102.345397401615,554.9586303035887,337.5067385741307,274.34672759363383,9282.302300217629,573.3926461914037,1008.7302268245519,761.9890447440483,2117.6234281227908,1201.790094986564,642.0340692834425,187.09147772320674,87.26507901126318,818.4419646564614,2089.016063229445,1559.3618854820566,1503.538739642221,0.0,9586.034315842975,1804.6765643174188,2026.9394149057935
FACT,8906.660841148243,12989.53522682959,9282.845350520629,16465.20953208748,6087.871598998781,12560.803274067739,8584.107113717999,14780.473523154042,13136.631844292497,6886.082041979985,12967.734897763023,8429.362191332484,7644.498781549268,9635.66209352229,9363.399547331674,9393.055953949077,13711.343976959879,9179.18835595483,8867.258411800965,10213.775685686389,11472.045420118653,10410.637422820557,9358.288777530079,9522.742717702058,9538.261583682088,10009.776088175524,8014.8303514408435,10500.580656352362,10399.864784061421,9586.034315842975,0.0,8579.965571388671,11195.351682199891
LPPT,1650.4062874119006,10730.78496714352,7767.803301105655,8288.503867714651,7714.979604082941,5404.309620041176,512.8845584370001,11153.913596141403,5739.078245285105,9632.30052917482,9657.682879314776,3211.7174335800105,6137.549256169119,2302.6857424820937,1469.9632862919395,1873.84706028188,8664.536583495246,1983.6079398270863,2202.428641890457,1956.1303624433278,2942.307926147029,2998.3052371348076,2228.9079544309607,1624.5352370256298,1717.441913766903,1642.4746695558613,2870.399397724636,3363.876975912895,3307.6755735702613,1804.6765643174188,8579.965571388671,0.0,3783.3341214037023
EFRO,2538.132936085888,7111.796723483437,5439.118104243794,6878.634761429539,11451.376242794004,6318.434484589655,3422.0000222935455,7370.85294938375,6243.416783834656,13282.900559270385,6013.908578937793,2818.8505107888336,5027.306459147683,1701.8548750228817,2358.800861619531,2079.668281738598,9429.19591909452,2179.5591456309016,2385.7771646126907,1927.0385770142573,2177.0499490729367,863.3297003586031,1942.94896284112,2186.4196889276245,2109.419990192777,2262.6890021087634,3184.843224387242,695.2573510545288,795.9448462888196,2026.9394149057935,11195.351682199891,3783.3341214037023,0.0
